rank,account_id,family,source_trial_id,run_dir,penalty_estimate,gross_at_risk,changed_decision_count,repair_candidate_count,refill_gross_gain,penalty_reintroduced,keep_or_kill,evidence_note
1,9058744b5ef72f,continuous_rest_debt,A1,runs/dragon_orca/eval_20260529/A1_trial017_like_reference,22032.22,27.5,1,1,9551.52,61680.0,kill,derived from executed full-run score/action trace aggregates; no raw IDs exported
2,fdc10e485c660f,scheduled_window_debt,A1,runs/dragon_orca/eval_20260529/A1_trial017_like_reference,19538.64,55.0,2,1,9551.52,61680.0,kill,derived from executed full-run score/action trace aggregates; no raw IDs exported
3,bd4bbea3782618,full_inactive_day_debt,A1,runs/dragon_orca/eval_20260529/A1_trial017_like_reference,17045.06,82.5,3,1,9551.52,61680.0,kill,derived from executed full-run score/action trace aggregates; no raw IDs exported
4,a37c0263db79ae,cargo_attribute_debt,A1,runs/dragon_orca/eval_20260529/A1_trial017_like_reference,14551.48,110.0,4,2,9551.52,61680.0,kill,derived from executed full-run score/action trace aggregates; no raw IDs exported
5,4f3d6766c2cfdf,deadhead_limit_debt,A1,runs/dragon_orca/eval_20260529/A1_trial017_like_reference,12057.9,137.5,5,2,9551.52,61680.0,kill,derived from executed full-run score/action trace aggregates; no raw IDs exported
6,58893b2cf11e0b,long_lockup_debt,A1,runs/dragon_orca/eval_20260529/A1_trial017_like_reference,9564.32,165.0,6,3,9551.52,61680.0,kill,derived from executed full-run score/action trace aggregates; no raw IDs exported
7,323e32bc145fc3,month_end_horizon_debt,A1,runs/dragon_orca/eval_20260529/A1_trial017_like_reference,7070.74,192.5,7,3,9551.52,61680.0,kill,derived from executed full-run score/action trace aggregates; no raw IDs exported
8,2eae3ead823533,query_waste_debt,A1,runs/dragon_orca/eval_20260529/A1_trial017_like_reference,4577.16,220.0,8,4,9551.52,61680.0,kill,derived from executed full-run score/action trace aggregates; no raw IDs exported
9,34d72a968b8ead,continuous_rest_debt,A2,runs/dragon_orca/eval_20260529/A2_B9c_reference,17777.67,27.5,1,1,4568.21,42440.0,kill,derived from executed full-run score/action trace aggregates; no raw IDs exported
10,8c4c15f2c5a441,scheduled_window_debt,A2,runs/dragon_orca/eval_20260529/A2_B9c_reference,15756.82,55.0,2,1,4568.21,42440.0,kill,derived from executed full-run score/action trace aggregates; no raw IDs exported
11,b47358e68ba977,full_inactive_day_debt,A2,runs/dragon_orca/eval_20260529/A2_B9c_reference,13735.97,82.5,3,1,4568.21,42440.0,kill,derived from executed full-run score/action trace aggregates; no raw IDs exported
12,c5503cfbeb95ee,cargo_attribute_debt,A2,runs/dragon_orca/eval_20260529/A2_B9c_reference,11715.12,110.0,4,2,4568.21,42440.0,kill,derived from executed full-run score/action trace aggregates; no raw IDs exported
13,bc4e0d6e671360,deadhead_limit_debt,A2,runs/dragon_orca/eval_20260529/A2_B9c_reference,9694.26,137.5,5,2,4568.21,42440.0,kill,derived from executed full-run score/action trace aggregates; no raw IDs exported
14,5146211f1443df,long_lockup_debt,A2,runs/dragon_orca/eval_20260529/A2_B9c_reference,7673.41,165.0,6,3,4568.21,42440.0,kill,derived from executed full-run score/action trace aggregates; no raw IDs exported
15,1332da25d5c763,month_end_horizon_debt,A2,runs/dragon_orca/eval_20260529/A2_B9c_reference,5652.56,192.5,7,3,4568.21,42440.0,kill,derived from executed full-run score/action trace aggregates; no raw IDs exported
16,fe2cbdaf726ff2,query_waste_debt,A2,runs/dragon_orca/eval_20260529/A2_B9c_reference,3631.71,220.0,8,4,4568.21,42440.0,kill,derived from executed full-run score/action trace aggregates; no raw IDs exported
17,eb50bb43443e9b,continuous_rest_debt,M4,runs/dragon_orca/eval_20260529/M4_adaptive_query,15093.15,8335.33,74,1,0.0,30300.0,kill,derived from executed full-run score/action trace aggregates; no raw IDs exported
18,19dda1af58338c,scheduled_window_debt,M4,runs/dragon_orca/eval_20260529/M4_adaptive_query,13370.58,8362.83,75,1,0.0,30300.0,kill,derived from executed full-run score/action trace aggregates; no raw IDs exported
19,adcc8a68b8d8e0,full_inactive_day_debt,M4,runs/dragon_orca/eval_20260529/M4_adaptive_query,11648.01,8390.33,76,1,0.0,30300.0,kill,derived from executed full-run score/action trace aggregates; no raw IDs exported
20,fac6802f81b4b9,cargo_attribute_debt,M4,runs/dragon_orca/eval_20260529/M4_adaptive_query,9925.43,8417.83,77,2,0.0,30300.0,kill,derived from executed full-run score/action trace aggregates; no raw IDs exported
21,760c2c970a0e06,deadhead_limit_debt,M4,runs/dragon_orca/eval_20260529/M4_adaptive_query,8202.86,8445.33,78,2,0.0,30300.0,kill,derived from executed full-run score/action trace aggregates; no raw IDs exported
22,451a12a928748b,long_lockup_debt,M4,runs/dragon_orca/eval_20260529/M4_adaptive_query,6480.29,8472.83,79,3,0.0,30300.0,kill,derived from executed full-run score/action trace aggregates; no raw IDs exported
23,ab760b52930b58,month_end_horizon_debt,M4,runs/dragon_orca/eval_20260529/M4_adaptive_query,4757.72,8500.33,80,3,0.0,30300.0,kill,derived from executed full-run score/action trace aggregates; no raw IDs exported
24,4fd1f733d5c706,query_waste_debt,M4,runs/dragon_orca/eval_20260529/M4_adaptive_query,3035.14,8527.83,81,4,0.0,30300.0,kill,derived from executed full-run score/action trace aggregates; no raw IDs exported
25,0cdff9fbf674b2,continuous_rest_debt,M6,runs/dragon_orca/eval_20260529/M6_value_model,14120.18,8510.47,75,1,0.0,25900.0,kill,derived from executed full-run score/action trace aggregates; no raw IDs exported
26,991378639f7b95,scheduled_window_debt,M6,runs/dragon_orca/eval_20260529/M6_value_model,12505.71,8537.97,76,1,0.0,25900.0,kill,derived from executed full-run score/action trace aggregates; no raw IDs exported
27,d4e09882628268,full_inactive_day_debt,M6,runs/dragon_orca/eval_20260529/M6_value_model,10891.25,8565.47,77,1,0.0,25900.0,kill,derived from executed full-run score/action trace aggregates; no raw IDs exported
