run_id,dataset,driver_hash,step_hash,action,candidate_type,freight_direct_net,route_segment_value,terminal_value,macro_task_repair_value,predicted_marginal_preference_cost,broken_macro_task_cost,lost_repair_window_cost,time_cost,query_cost,reposition_cost,execution_risk,low_confidence_risk,final_score,chosen_flag,why_not_chosen,wait_reason,query_k,query_minutes,macro_payload,notes
runs/delta_mpc/20260509/delta_mpc_fallback,20260509,e7a52d984e7e,e557847be02a,wait,wait,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,True,,daily_rest_guard,0,0,"{""macro_aborted_count"":0,""macro_broken_by_query_count"":0,""macro_completed_count"":1,""macro_started_count"":1,""official_delta_measured_macro_gain"":0.0,""query_skipped_due_to_macro"":1}",runtime_top5_decomposition
runs/delta_mpc/20260509/delta_mpc_fallback,20260509,e7a52d984e7e,62c6133b4890,take_order,take_order,382.14,0.0,0.0,0.0,6.2,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.15,611.97,True,,,120,12,"{""macro_aborted_count"":0,""macro_broken_by_query_count"":0,""macro_completed_count"":1,""macro_started_count"":1,""official_delta_measured_macro_gain"":0.0,""query_skipped_due_to_macro"":1}",runtime_top5_decomposition
runs/delta_mpc/20260509/delta_mpc_fallback,20260509,e7a52d984e7e,62c6133b4890,take_order,take_order,251.79,0.0,0.0,0.0,6.2,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.15,522.63,False,lower_delta_mpc_score,,120,12,"{""macro_aborted_count"":0,""macro_broken_by_query_count"":0,""macro_completed_count"":1,""macro_started_count"":1,""official_delta_measured_macro_gain"":0.0,""query_skipped_due_to_macro"":1}",runtime_top5_decomposition
runs/delta_mpc/20260509/delta_mpc_fallback,20260509,e7a52d984e7e,62c6133b4890,take_order,take_order,313.39,0.0,0.0,0.0,6.2,-0.0,-0.0,14.08,-0.0,0.0,-0.0,0.15,425.37,False,lower_delta_mpc_score,,120,12,"{""macro_aborted_count"":0,""macro_broken_by_query_count"":0,""macro_completed_count"":1,""macro_started_count"":1,""official_delta_measured_macro_gain"":0.0,""query_skipped_due_to_macro"":1}",runtime_top5_decomposition
runs/delta_mpc/20260509/delta_mpc_fallback,20260509,e7a52d984e7e,62c6133b4890,take_order,take_order,269.01,0.0,0.0,0.0,6.2,-0.0,-0.0,6.0,-0.0,0.0,-0.0,0.15,378.74,False,lower_delta_mpc_score,,120,12,"{""macro_aborted_count"":0,""macro_broken_by_query_count"":0,""macro_completed_count"":1,""macro_started_count"":1,""official_delta_measured_macro_gain"":0.0,""query_skipped_due_to_macro"":1}",runtime_top5_decomposition
runs/delta_mpc/20260509/delta_mpc_fallback,20260509,e7a52d984e7e,62c6133b4890,take_order,take_order,227.97,0.0,0.0,0.0,6.2,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.15,353.95,False,lower_delta_mpc_score,,120,12,"{""macro_aborted_count"":0,""macro_broken_by_query_count"":0,""macro_completed_count"":1,""macro_started_count"":1,""official_delta_measured_macro_gain"":0.0,""query_skipped_due_to_macro"":1}",runtime_top5_decomposition
runs/delta_mpc/20260509/delta_mpc_fallback,20260509,e7a52d984e7e,947fcc43de88,take_order,take_order,495.65,0.0,0.0,0.0,6.2,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.15,814.02,True,,,120,12,"{""macro_aborted_count"":0,""macro_broken_by_query_count"":0,""macro_completed_count"":1,""macro_started_count"":1,""official_delta_measured_macro_gain"":0.0,""query_skipped_due_to_macro"":1}",runtime_top5_decomposition
runs/delta_mpc/20260509/delta_mpc_fallback,20260509,e7a52d984e7e,947fcc43de88,take_order,take_order,298.16,0.0,0.0,0.0,6.2,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.15,485.9,False,lower_delta_mpc_score,,120,12,"{""macro_aborted_count"":0,""macro_broken_by_query_count"":0,""macro_completed_count"":1,""macro_started_count"":1,""official_delta_measured_macro_gain"":0.0,""query_skipped_due_to_macro"":1}",runtime_top5_decomposition
runs/delta_mpc/20260509/delta_mpc_fallback,20260509,e7a52d984e7e,947fcc43de88,take_order,take_order,305.75,0.0,0.0,0.0,6.2,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.15,482.25,False,lower_delta_mpc_score,,120,12,"{""macro_aborted_count"":0,""macro_broken_by_query_count"":0,""macro_completed_count"":1,""macro_started_count"":1,""official_delta_measured_macro_gain"":0.0,""query_skipped_due_to_macro"":1}",runtime_top5_decomposition
runs/delta_mpc/20260509/delta_mpc_fallback,20260509,e7a52d984e7e,947fcc43de88,take_order,take_order,229.06,0.0,0.0,0.0,6.2,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.15,360.53,False,lower_delta_mpc_score,,120,12,"{""macro_aborted_count"":0,""macro_broken_by_query_count"":0,""macro_completed_count"":1,""macro_started_count"":1,""official_delta_measured_macro_gain"":0.0,""query_skipped_due_to_macro"":1}",runtime_top5_decomposition
