run_id,dataset_tag,variant,data_version,checker_version,comparable,official_net,gross_income,distance_cost,gross_minus_cost,preference_penalty,take_order,wait,reposition,illegal_actions,rejected_takes,income_aborts,simulation_failures,qwen_compile_calls,semantic_gate_status,notes
runs/pce/20260509/pce_final,20260509_reference,pce_final,20260509_reference,20260509_matching,true,92486.65,277101.02,83714.37,193386.65,100900.0,430,849,0,0,0,0,0,12,,
runs/pce/20260529/full_info_oracle,20260529_main,full_info_oracle,20260529_main,20260529_current,true,35001.19,79574.88,27493.7,52081.18,17080.0,68,143,0,0,0,0,0,0,,
runs/pce/20260529/money_trajectory_repair,20260529_main,money_trajectory_repair,20260529_main,20260529_current,true,35849.85,80436.31,27266.46,53169.85,17320.0,69,147,0,0,0,0,0,0,,
runs/pce/20260529/no_pref_money_oracle,20260529_main,no_pref_money_oracle,20260529_main,20260529_current,true,-103632.37,115831.02,47943.39,67887.63,171520.0,50,4,0,0,0,0,0,0,,
runs/pce/20260529/pce_final,20260529_main,pce_final,20260529_main,20260529_current,true,-3125.02,47464.59,13349.61,34114.98,37240.0,117,199,0,0,0,0,0,5,,
runs/pce/20260529/predicate_compiler_only,20260529_main,predicate_compiler_only,20260529_main,20260529_current,true,-126961.94,96238.06,29740.01,66498.05,193460.0,167,13,0,0,0,0,0,5,,
runs/pce/20260529/predicate_repair_verifier,20260529_main,predicate_repair_verifier,20260529_main,20260529_current,true,-96386.59,73487.41,23154.0,50333.41,146720.0,162,72,0,0,0,0,0,5,,
runs/pce/20260529/predicate_vocab_linker,20260529_main,predicate_vocab_linker,20260529_main,20260529_current,true,-126961.94,96238.06,29740.01,66498.05,193460.0,167,13,0,0,0,0,0,6,,
runs/pce/20260529/visibility_k100_oracle,20260529_main,visibility_k100_oracle,20260529_main,20260529_current,true,29767.84,67041.59,19633.75,47407.84,17640.0,76,150,0,0,0,0,0,0,,
runs/pce/20260529/visibility_k300_oracle,20260529_main,visibility_k300_oracle,20260529_main,20260529_current,true,29843.65,72591.56,23007.92,49583.64,19740.0,66,157,0,0,0,0,0,0,,
runs/pce/20260529/visibility_k600_oracle,20260529_main,visibility_k600_oracle,20260529_main,20260529_current,true,30960.95,73817.52,25416.56,48400.96,17440.0,63,146,0,0,0,0,0,0,,
runs/next_build/20260529/calendar_rest_only,20260529_main,calendar_rest_only,20260529_main,20260529_current,true,-2856.18,56076.19,16592.38,39483.81,42340.0,77,178,0,0,0,0,0,5,,prior_next_build_reference
runs/next_build/20260529/dynamic_query_k,20260529_main,dynamic_query_k,20260529_main,20260529_current,true,-128251.07,95169.62,30300.7,64868.92,193120.0,168,13,0,0,0,0,0,5,,prior_next_build_reference
runs/next_build/20260529/dynamic_query_reposition,20260529_main,dynamic_query_reposition,20260529_main,20260529_current,true,-130736.14,94456.98,29033.12,65423.86,196160.0,169,16,0,0,0,0,0,5,,prior_next_build_reference
runs/next_build/20260529/marginal_pref_only,20260529_main,marginal_pref_only,20260529_main,20260529_current,true,-113959.51,107264.18,33023.69,74240.49,188200.0,164,6,0,0,0,0,0,5,,prior_next_build_reference
runs/next_build/20260529/money_greedy_no_pref,20260529_main,money_greedy_no_pref,20260529_main,20260529_current,true,-122937.49,112028.48,34425.96,77602.52,200540.0,144,6,0,0,0,0,0,5,,prior_next_build_reference
runs/next_build/20260529/preference_state_machine,20260529_main,preference_state_machine,20260529_main,20260529_current,true,-101251.29,76285.2,24376.49,51908.71,153160.0,129,64,0,0,0,0,0,5,,prior_next_build_reference
runs/next_build/20260529/strict_pref,20260529_main,strict_pref,20260529_main,20260529_current,true,2240.98,55774.59,16873.61,38900.98,36660.0,73,180,0,0,0,0,0,5,,prior_next_build_reference
runs/next_build/20260509/calendar_rest_only,20260509_reference,calendar_rest_only,20260509_reference,20260509_matching,true,99762.54,282679.28,86236.76,196442.52,96680.0,418,788,0,0,0,0,0,12,,cross_dataset_reference
runs/next_build/20260509/dynamic_query_k,20260509_reference,dynamic_query_k,20260509_reference,20260509_matching,true,174300.44,490379.03,151078.57,339300.46,165000.0,902,75,0,0,0,0,0,12,,cross_dataset_reference
runs/next_build/20260509/dynamic_query_reposition,20260509_reference,dynamic_query_reposition,20260509_reference,20260509_matching,true,174300.44,490379.03,151078.57,339300.46,165000.0,902,75,0,0,0,0,0,12,,cross_dataset_reference
runs/next_build/20260509/marginal_pref_only,20260509_reference,marginal_pref_only,20260509_reference,20260509_matching,true,199861.77,531412.5,160640.73,370771.77,170910.0,859,32,0,0,0,0,0,13,,cross_dataset_reference
runs/next_build/20260509/money_greedy_no_pref,20260509_reference,money_greedy_no_pref,20260509_reference,20260509_matching,true,220151.2,561014.35,172653.1,388361.25,168210.0,740,70,0,0,0,0,0,12,,cross_dataset_reference
runs/next_build/20260509/strict_pref,20260509_reference,strict_pref,20260509_reference,20260509_matching,true,93518.61,287297.0,91978.37,195318.63,101800.0,422,866,0,0,0,0,0,12,,cross_dataset_reference
