dataset,driver_hash,preference_hash,rule_index,controller_type,bytecode_ops,penalty,compile_source,schema_valid_rbt_observed,raw_literal_redacted
20260529,ca3130d3fa70,04fabd1eb169,0,direct_violation_count,FILTER_ACTION;FIELD_MATCH;COUNT;COUNT_PER_ACTION;PENALTY;AUDIT_TOP_CANDIDATE,0.0,qwen_compile_cache_observed_but_monthly_rules_may_include_fallback,False,True
20260529,ca3130d3fa70,77eff289e983,1,direct_violation_count,FILTER_ACTION;FIELD_MATCH;COUNT;COUNT_PER_ACTION;PENALTY;AUDIT_TOP_CANDIDATE,2100.0,qwen_compile_cache_observed_but_monthly_rules_may_include_fallback,False,True
20260529,ca3130d3fa70,ecb47a6836ba,2,direct_violation_count,FILTER_ACTION;FIELD_MATCH;COUNT;COUNT_PER_ACTION;PENALTY;AUDIT_TOP_CANDIDATE,9600.0,qwen_compile_cache_observed_but_monthly_rules_may_include_fallback,False,True
20260529,ca3130d3fa70,f03d06d83475,3,full_inactive_day_quota,FULL_DAY_INACTIVE;ACTIVE_COVERAGE;COUNT;COUNT_CAPPED;PENALTY,10000.0,qwen_compile_cache_observed_but_monthly_rules_may_include_fallback,False,True
20260529,ca3130d3fa70,bb305f1afa6f,4,direct_violation_count,FILTER_ACTION;FIELD_MATCH;COUNT;COUNT_PER_ACTION;PENALTY;AUDIT_TOP_CANDIDATE,0.0,qwen_compile_cache_observed_but_monthly_rules_may_include_fallback,False,True
20260529,ec94d50c990d,41f1218965d2,0,direct_violation_count,FILTER_ACTION;FIELD_MATCH;COUNT;COUNT_PER_ACTION;PENALTY;AUDIT_TOP_CANDIDATE,0.0,qwen_compile_cache_observed_but_monthly_rules_may_include_fallback,False,True
20260529,ec94d50c990d,9ad0e0884abc,1,direct_violation_count,FILTER_ACTION;FIELD_MATCH;COUNT;COUNT_PER_ACTION;PENALTY;AUDIT_TOP_CANDIDATE,3400.0,qwen_compile_cache_observed_but_monthly_rules_may_include_fallback,False,True
20260529,ec94d50c990d,0c83da82cede,2,required_cargo_attribute_distinct_days,FIELD_MATCH;TAKE_FIELD_MATCH;COUNT;COUNT_DISTINCT_DAY;ASK_LINKER,6000.0,qwen_compile_cache_observed_but_monthly_rules_may_include_fallback,False,True
20260529,ec94d50c990d,28326a28551f,3,direct_violation_count,FILTER_ACTION;FIELD_MATCH;COUNT;COUNT_PER_ACTION;PENALTY;AUDIT_TOP_CANDIDATE,360.0,qwen_compile_cache_observed_but_monthly_rules_may_include_fallback,False,True
20260529,ec94d50c990d,719551cdb83c,4,full_inactive_day_quota,FULL_DAY_INACTIVE;ACTIVE_COVERAGE;COUNT;COUNT_CAPPED;PENALTY,0.0,qwen_compile_cache_observed_but_monthly_rules_may_include_fallback,False,True
20260529,ec94d50c990d,10a2883f649f,5,location_visit_or_dwell,POSITION_NEAR;DWELL_MINUTES;REPAIR,5000.0,qwen_compile_cache_observed_but_monthly_rules_may_include_fallback,False,True
20260529,ec94d50c990d,95661f2c0e5d,6,terminal_task,ORDERED_SEQUENCE;COUNT;COUNT_ONCE_IF_FAILED;REPAIR,5000.0,qwen_compile_cache_observed_but_monthly_rules_may_include_fallback,False,True
20260509,ca3130d3fa70,04fabd1eb169,0,direct_violation_count,FILTER_ACTION;FIELD_MATCH;COUNT;COUNT_PER_ACTION;PENALTY;AUDIT_TOP_CANDIDATE,0.0,qwen_compile_cache_observed_but_monthly_rules_may_include_fallback,False,True
20260509,ca3130d3fa70,e9aa9520be37,1,direct_violation_count,FILTER_ACTION;FIELD_MATCH;COUNT;COUNT_PER_ACTION;PENALTY;AUDIT_TOP_CANDIDATE,2500.0,qwen_compile_cache_observed_but_monthly_rules_may_include_fallback,False,True
20260509,ca3130d3fa70,deb1525e8b28,2,direct_violation_count,FILTER_ACTION;FIELD_MATCH;COUNT;COUNT_PER_ACTION;PENALTY;AUDIT_TOP_CANDIDATE,2000.0,qwen_compile_cache_observed_but_monthly_rules_may_include_fallback,False,True
20260509,ec94d50c990d,7fa08f21057f,0,unknown_soft,UNKNOWN_SOFT,6000.0,qwen_compile_cache_observed_but_monthly_rules_may_include_fallback,False,True
20260509,ec94d50c990d,dae5f34a3a76,1,direct_violation_count,FILTER_ACTION;FIELD_MATCH;COUNT;COUNT_PER_ACTION;PENALTY;AUDIT_TOP_CANDIDATE,350.0,qwen_compile_cache_observed_but_monthly_rules_may_include_fallback,False,True
20260509,ec94d50c990d,afdb7fb50ad6,2,direct_violation_count,FILTER_ACTION;FIELD_MATCH;COUNT;COUNT_PER_ACTION;PENALTY;AUDIT_TOP_CANDIDATE,0.0,qwen_compile_cache_observed_but_monthly_rules_may_include_fallback,False,True
20260509,409af0e540c1,693eb9db7be9,0,unknown_soft,UNKNOWN_SOFT,2000.0,qwen_compile_cache_observed_but_monthly_rules_may_include_fallback,False,True
20260509,409af0e540c1,4644444d8762,1,direct_violation_count,FILTER_ACTION;FIELD_MATCH;COUNT;COUNT_PER_ACTION;PENALTY;AUDIT_TOP_CANDIDATE,0.0,qwen_compile_cache_observed_but_monthly_rules_may_include_fallback,False,True
