ptt_type,controller_class,paraphrase_count,compiler_schema_pass,positive_pass,negative_pass,repair_pass,linker_behavior_pass,firewall_pass,status
daily_continuous_rest,TimeWindowController,3,True,True,True,True,True,True,pass
scheduled_quiet_window,TimeWindowController,3,True,True,True,True,True,True,pass
full_inactive_day_quota,DayQuotaController,3,True,True,True,True,True,True,pass
no_order_day_quota,DayQuotaController,3,True,True,True,True,True,True,pass
forbidden_cargo_attribute,AttributeController,3,True,True,True,True,True,True,pass
required_cargo_attribute_distinct_days,AttributeController,3,True,True,True,True,True,True,pass
pickup_deadhead_limit,DistanceController,3,True,True,True,True,True,True,pass
haul_distance_limit,DistanceController,3,True,True,True,True,True,True,pass
cumulative_deadhead_budget,DistanceController,3,True,True,True,True,True,True,pass
daily_order_count_limit,CountDeadlineController,3,True,True,True,True,True,True,pass
first_order_start_deadline,CountDeadlineController,3,True,True,True,True,True,True,pass
location_visit_or_dwell,LocationTaskController,3,True,True,True,True,True,True,pass
ordered_multi_stop_task,LocationTaskController,3,True,True,True,True,True,True,pass
stay_target_window,LocationTaskController,3,True,True,True,True,True,True,pass
unknown_soft,UnknownSoftController,3,True,True,True,True,True,True,pass
region_avoid_or_require,AttributeController,3,True,True,True,True,True,True,pass
runtime_entity_task,AttributeController,3,True,True,True,True,True,True,pass
daily_work_pattern,CountDeadlineController,3,True,True,True,True,True,True,pass
