dataset,row_index,action,chosen_candidate_hash,ptt_rules,ptt_controllers,vocab_links,firewall_scored,firewall_blocked,firewall_massive,macro_started,macro_completed
20260529,0,wait,54063e001d641e2e,4,4,0,0,0,0,1,1
20260529,1,take_order,79f6aa436b25e5b8,4,4,0,55,0,54,1,1
20260529,2,take_order,b4702fbaf8b450f1,4,4,1,57,0,32,1,1
20260529,3,wait,54063e001d641e2e,4,4,1,66,0,37,2,2
20260529,4,take_order,b088412e45b6a8c0,4,4,1,44,0,19,2,2
20260529,5,take_order,c775399af366da73,4,4,1,45,0,28,2,2
20260529,6,wait,1230253ea99297e7,4,4,1,65,0,64,2,2
20260529,7,wait,22301972ddfa8e39,5,5,0,0,0,0,3,3
20260529,8,take_order,609a00b2d19b26ef,5,5,1,44,0,43,3,3
20260529,9,take_order,53af9a2485a72276,5,5,1,52,0,39,3,3
20260529,10,wait,1230253ea99297e7,5,5,1,58,0,51,3,3
20260529,11,wait,1230253ea99297e7,5,5,1,64,0,58,3,3
20260529,12,wait,eacb6a1305192814,5,5,0,0,0,0,4,4
20260529,13,take_order,b9bb81520fbb61b5,5,5,1,34,0,32,4,4
20260529,14,take_order,09223d2841ee6e97,5,5,1,34,0,26,4,4
20260529,15,wait,1230253ea99297e7,5,5,1,54,0,50,4,4
20260529,16,wait,1230253ea99297e7,5,5,1,67,0,62,4,4
20260529,17,wait,00af0090956831cf,5,5,0,0,0,0,5,5
20260529,18,take_order,bfb4aea8f73dd79e,5,5,1,41,0,35,5,5
20260529,19,take_order,5df3ec7788c0c209,5,5,1,57,0,46,5,5
20260529,20,wait,4ab587fe0b52eea2,4,4,1,53,0,26,6,6
20260529,21,take_order,b5efdb7e07a65963,4,4,1,42,0,10,6,6
20260529,22,take_order,6658628fed756b71,4,4,1,41,0,39,6,6
20260529,23,wait,1230253ea99297e7,4,4,1,47,0,41,6,6
20260529,24,wait,1230253ea99297e7,4,4,1,53,0,47,6,6
20260529,25,wait,09ab262222de742d,4,4,0,0,0,0,7,7
20260529,26,take_order,065aea0f6d50c4fb,4,4,1,35,0,32,7,7
20260529,27,take_order,49616bafe958ba33,4,4,1,43,0,42,7,7
20260529,28,wait,8113832290fcab8b,4,4,1,43,0,38,8,8
20260529,29,take_order,ae6cb0f68fead0b7,4,4,1,25,0,24,8,8
20260529,30,wait,1230253ea99297e7,4,4,1,58,0,56,8,8
20260529,31,wait,26b7e16f9ddcbca9,4,4,0,0,0,0,9,9
20260529,32,take_order,d1297fc51edd66bf,4,4,1,40,0,39,9,9
20260529,33,wait,1230253ea99297e7,4,4,0,53,0,51,9,9
20260529,34,wait,1230253ea99297e7,4,4,0,53,0,52,9,9
20260529,35,wait,1230253ea99297e7,4,4,1,55,0,54,9,9
20260529,36,wait,bb328a21ad63b26a,4,4,0,0,0,0,10,10
20260529,37,take_order,e2eb19649c324ea6,4,4,1,63,0,61,10,10
20260529,38,wait,1230253ea99297e7,4,4,1,60,0,53,10,10
20260529,39,wait,1230253ea99297e7,4,4,1,62,0,54,10,10
20260529,40,wait,0172f523ea10c856,4,4,0,0,0,0,11,11
20260529,41,take_order,6648ee6a9875c798,4,4,0,46,0,41,11,11
20260529,42,wait,1230253ea99297e7,4,4,1,35,0,34,11,11
20260529,43,wait,1230253ea99297e7,4,4,1,39,0,38,11,11
20260529,44,wait,f2556f1afa017288,4,4,0,0,0,0,12,12
20260529,45,wait,54063e001d641e2e,4,4,0,0,0,0,13,13
20260529,46,take_order,4dd3d68f1c9d0fad,4,4,1,41,0,39,13,13
20260529,47,wait,1230253ea99297e7,4,4,1,49,0,42,13,13
