trial_id,stage,status,variant,config_hash,params_json,run_dir,command,exit_code,dataset,simulation_days,official_net,gross_minus_cost,preference_penalty,take_count,wait_count,reposition_count,query_count,query_minutes,query_minutes_per_take,invalid_count,rejected_take_count,income_abort_count,qwen_compile_calls,qwen_link_calls,qwen_auditor_calls,qwen_numeric_adjustments,schema_valid_rate,behavioral_pref_accuracy,false_safe_rate,false_hard_block_rate,blocked_high_penalty_take_count,penalty_reduction_vs_anchor,gross_loss_vs_anchor,value_model_used_count,beam_used_count,terminal_value_used_count,adaptive_query_used_count,month_end_protection_count,regret_lns_used_count,evolution_generation,b0_action_included_rate,action_signature_match_rate_if_noop,b0_shadow_pure,keep_or_kill,kill_reason
S0,S0_0509_B0_rescue,EXECUTED,best_rescue,217e4d5f8372543b,{},runs/dragon_orca/sanity_20260509/S0_B0_rescue,C:\Anaconda3\python.exe tools/run_local_eval.py --simulation-days 31 --variant best_rescue --results-dir C:\budostudy\only_for_codex\thelatstcargo\runs\dragon_orca\sanity_20260509\S0_B0_rescue --data-dir C:\budostudy\only_for_codex\thelatstcargo\_offline_reference_20260509\demo\server\data --skip-income && C:\Anaconda3\python.exe C:\budostudy\only_for_codex\thelatstcargo\_offline_reference_20260509\demo\calc_monthly_income.py --project-root C:\budostudy\only_for_codex\thelatstcargo\_offline_reference_20260509\demo --results-dir C:\budostudy\only_for_codex\thelatstcargo\runs\dragon_orca\sanity_20260509\S0_B0_rescue,0,20260509,31,86900.14,185150.15,98250.0,378,814,0,1191,15899,42.06,0,0,0,12,0,0,0,1.0,1.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0.85,,true,kill,below_b0_or_negative_tradeoff
S1,S1_0509_top_candidate,EXECUTED,best_rescue,217e4d5f8372543b,{},runs/dragon_orca/sanity_20260509/S1_top_D0,C:\Anaconda3\python.exe tools/run_local_eval.py --simulation-days 31 --variant best_rescue --results-dir C:\budostudy\only_for_codex\thelatstcargo\runs\dragon_orca\sanity_20260509\S1_top_D0 --data-dir C:\budostudy\only_for_codex\thelatstcargo\_offline_reference_20260509\demo\server\data --skip-income && C:\Anaconda3\python.exe C:\budostudy\only_for_codex\thelatstcargo\_offline_reference_20260509\demo\calc_monthly_income.py --project-root C:\budostudy\only_for_codex\thelatstcargo\_offline_reference_20260509\demo --results-dir C:\budostudy\only_for_codex\thelatstcargo\runs\dragon_orca\sanity_20260509\S1_top_D0,0,20260509,31,86900.14,185150.15,98250.0,378,814,0,1191,15899,42.06,0,0,0,12,0,0,0,1.0,1.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0.85,,true,kill,below_b0_or_negative_tradeoff
S2,S2_0509_top_candidate,EXECUTED,best_rescue,217e4d5f8372543b,{},runs/dragon_orca/sanity_20260509/S2_top_D1,C:\Anaconda3\python.exe tools/run_local_eval.py --simulation-days 31 --variant best_rescue --results-dir C:\budostudy\only_for_codex\thelatstcargo\runs\dragon_orca\sanity_20260509\S2_top_D1 --data-dir C:\budostudy\only_for_codex\thelatstcargo\_offline_reference_20260509\demo\server\data --skip-income && C:\Anaconda3\python.exe C:\budostudy\only_for_codex\thelatstcargo\_offline_reference_20260509\demo\calc_monthly_income.py --project-root C:\budostudy\only_for_codex\thelatstcargo\_offline_reference_20260509\demo --results-dir C:\budostudy\only_for_codex\thelatstcargo\runs\dragon_orca\sanity_20260509\S2_top_D1,0,20260509,31,86900.14,185150.15,98250.0,378,814,0,1191,15899,42.06,0,0,0,12,0,0,0,1.0,1.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0.85,,true,kill,below_b0_or_negative_tradeoff
S3,S3_0509_top_candidate,EXECUTED,best_rescue,217e4d5f8372543b,{},runs/dragon_orca/sanity_20260509/S3_top_D2,C:\Anaconda3\python.exe tools/run_local_eval.py --simulation-days 31 --variant best_rescue --results-dir C:\budostudy\only_for_codex\thelatstcargo\runs\dragon_orca\sanity_20260509\S3_top_D2 --data-dir C:\budostudy\only_for_codex\thelatstcargo\_offline_reference_20260509\demo\server\data --skip-income && C:\Anaconda3\python.exe C:\budostudy\only_for_codex\thelatstcargo\_offline_reference_20260509\demo\calc_monthly_income.py --project-root C:\budostudy\only_for_codex\thelatstcargo\_offline_reference_20260509\demo --results-dir C:\budostudy\only_for_codex\thelatstcargo\runs\dragon_orca\sanity_20260509\S3_top_D2,0,20260509,31,86900.14,185150.15,98250.0,378,814,0,1191,15899,42.06,0,0,0,12,0,0,0,1.0,1.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0.85,,true,kill,below_b0_or_negative_tradeoff
S4,S4_0509_top_candidate,EXECUTED,best_rescue,217e4d5f8372543b,{},runs/dragon_orca/sanity_20260509/S4_top_D3,C:\Anaconda3\python.exe tools/run_local_eval.py --simulation-days 31 --variant best_rescue --results-dir C:\budostudy\only_for_codex\thelatstcargo\runs\dragon_orca\sanity_20260509\S4_top_D3 --data-dir C:\budostudy\only_for_codex\thelatstcargo\_offline_reference_20260509\demo\server\data --skip-income && C:\Anaconda3\python.exe C:\budostudy\only_for_codex\thelatstcargo\_offline_reference_20260509\demo\calc_monthly_income.py --project-root C:\budostudy\only_for_codex\thelatstcargo\_offline_reference_20260509\demo --results-dir C:\budostudy\only_for_codex\thelatstcargo\runs\dragon_orca\sanity_20260509\S4_top_D3,0,20260509,31,86900.14,185150.15,98250.0,378,814,0,1191,15899,42.06,0,0,0,12,0,0,0,1.0,1.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0.85,,true,kill,below_b0_or_negative_tradeoff
S5,S5_0509_top_candidate,EXECUTED,best_rescue,217e4d5f8372543b,{},runs/dragon_orca/sanity_20260509/S5_top_D4,C:\Anaconda3\python.exe tools/run_local_eval.py --simulation-days 31 --variant best_rescue --results-dir C:\budostudy\only_for_codex\thelatstcargo\runs\dragon_orca\sanity_20260509\S5_top_D4 --data-dir C:\budostudy\only_for_codex\thelatstcargo\_offline_reference_20260509\demo\server\data --skip-income && C:\Anaconda3\python.exe C:\budostudy\only_for_codex\thelatstcargo\_offline_reference_20260509\demo\calc_monthly_income.py --project-root C:\budostudy\only_for_codex\thelatstcargo\_offline_reference_20260509\demo --results-dir C:\budostudy\only_for_codex\thelatstcargo\runs\dragon_orca\sanity_20260509\S5_top_D4,0,20260509,31,86900.14,185150.15,98250.0,378,814,0,1191,15899,42.06,0,0,0,12,0,0,0,1.0,1.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0.85,,true,kill,below_b0_or_negative_tradeoff
A1,A1_trial017_like_reference_or_reimplementation,EXECUTED,fuse_hidden_safe,e706854c32afb6f6,"{""archaeology"":""trial017_like""}",runs/dragon_orca/eval_20260529/A1_trial017_like_reference,C:\Anaconda3\python.exe tools/run_local_eval.py --simulation-days 31 --variant fuse_hidden_safe --results-dir C:\budostudy\only_for_codex\thelatstcargo\runs\dragon_orca\eval_20260529\A1_trial017_like_reference --data-dir C:\budostudy\only_for_codex\thelatstcargo\demo\server\data,0,20260529,31,-47060.79,52759.21,99820.0,117,117,0,234,2944,25.16,0,0,0,11,224,0,0,1.0,1.0,0.0,0.0,0,-61680.0,-9551.52,0,0,0,0,0,0,0,0.85,,true,kill,below_b0_or_negative_tradeoff
A2,A2_B9c_reference_or_reimplementation,EXECUTED,fuse_hidden_safe,57f1b42b4b4bbc39,"{""archaeology"":""b9c_repair""}",runs/dragon_orca/eval_20260529/A2_B9c_reference,C:\Anaconda3\python.exe tools/run_local_eval.py --simulation-days 31 --variant fuse_hidden_safe --results-dir C:\budostudy\only_for_codex\thelatstcargo\runs\dragon_orca\eval_20260529\A2_B9c_reference --data-dir C:\budostudy\only_for_codex\thelatstcargo\demo\server\data,0,20260529,31,-32804.09,47775.9,80580.0,102,151,0,234,2993,29.34,0,0,0,12,224,0,0,1.0,1.0,0.0,0.0,0,-42440.0,-4568.21,0,0,0,0,0,0,0,0.85,,true,kill,below_b0_or_negative_tradeoff
A3,A3_E5_like_hunter_reference,EXECUTED,crown_pref_forge,ce9d1f6ddd841c96,"{""archaeology"":""e5_hunter""}",runs/dragon_orca/eval_20260529/A3_E5_like_hunter_reference,C:\Anaconda3\python.exe tools/run_local_eval.py --simulation-days 31 --variant crown_pref_forge --results-dir C:\budostudy\only_for_codex\thelatstcargo\runs\dragon_orca\eval_20260529\A3_E5_like_hunter_reference --data-dir C:\budostudy\only_for_codex\thelatstcargo\demo\server\data,0,20260529,31,1882.36,43382.35,41500.0,68,121,0,189,10916,160.53,0,0,0,7,0,0,0,0.8939,1.0,0.0,0.0,0,-3360.0,-174.66,0,0,0,0,0,0,0,0.85,,true,kill,below_b0_or_negative_tradeoff
D0,D0_B0_rescue,EXECUTED,best_rescue,217e4d5f8372543b,{},runs/dragon_orca/eval_20260529/D0_B0_rescue,C:\Anaconda3\python.exe tools/run_local_eval.py --simulation-days 31 --variant best_rescue --results-dir C:\budostudy\only_for_codex\thelatstcargo\runs\dragon_orca\eval_20260529\D0_B0_rescue --data-dir C:\budostudy\only_for_codex\thelatstcargo\demo\server\data,0,20260529,31,5067.69,43207.69,38140.0,89,163,0,252,3306,37.15,0,0,0,6,0,0,0,1.0,1.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,1.0,,true,kill,below_b0_or_negative_tradeoff
D1,D1_compile_runtime_noop,EXECUTED,best_rescue,217e4d5f8372543b,{},runs/dragon_orca/eval_20260529/D1_compile_runtime_noop,C:\Anaconda3\python.exe tools/run_local_eval.py --simulation-days 31 --variant best_rescue --results-dir C:\budostudy\only_for_codex\thelatstcargo\runs\dragon_orca\eval_20260529\D1_compile_runtime_noop --data-dir C:\budostudy\only_for_codex\thelatstcargo\demo\server\data,0,20260529,31,5067.69,43207.69,38140.0,89,163,0,252,3306,37.15,0,0,0,7,0,0,0,1.0,1.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,1.0,1.0,true,kill,below_b0_or_negative_tradeoff
D2,D2_debt_accountant_monitor_noop,EXECUTED,best_rescue,217e4d5f8372543b,{},runs/dragon_orca/eval_20260529/D2_debt_accountant_monitor_noop,C:\Anaconda3\python.exe tools/run_local_eval.py --simulation-days 31 --variant best_rescue --results-dir C:\budostudy\only_for_codex\thelatstcargo\runs\dragon_orca\eval_20260529\D2_debt_accountant_monitor_noop --data-dir C:\budostudy\only_for_codex\thelatstcargo\demo\server\data,0,20260529,31,5067.69,43207.69,38140.0,89,163,0,252,3306,37.15,0,0,0,6,0,0,0,1.0,1.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,1.0,1.0,true,kill,below_b0_or_negative_tradeoff
D3,D3_value_model_loaded_noop,EXECUTED,best_rescue,217e4d5f8372543b,{},runs/dragon_orca/eval_20260529/D3_value_model_loaded_noop,C:\Anaconda3\python.exe tools/run_local_eval.py --simulation-days 31 --variant best_rescue --results-dir C:\budostudy\only_for_codex\thelatstcargo\runs\dragon_orca\eval_20260529\D3_value_model_loaded_noop --data-dir C:\budostudy\only_for_codex\thelatstcargo\demo\server\data,0,20260529,31,5067.69,43207.69,38140.0,89,163,0,252,3306,37.15,0,0,0,6,0,0,0,1.0,1.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,1.0,1.0,true,kill,below_b0_or_negative_tradeoff
D4,D4_query_policy_noop,EXECUTED,best_rescue,217e4d5f8372543b,{},runs/dragon_orca/eval_20260529/D4_query_policy_noop,C:\Anaconda3\python.exe tools/run_local_eval.py --simulation-days 31 --variant best_rescue --results-dir C:\budostudy\only_for_codex\thelatstcargo\runs\dragon_orca\eval_20260529\D4_query_policy_noop --data-dir C:\budostudy\only_for_codex\thelatstcargo\demo\server\data,0,20260529,31,5067.69,43207.69,38140.0,89,163,0,252,3306,37.15,0,0,0,6,0,0,0,1.0,1.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,1.0,1.0,true,kill,below_b0_or_negative_tradeoff
G001,TierA_search_full_31day,EXECUTED,crown_dragon_orca,d49c8fd900bbb2ee,"{""beam_depth"":2,""beam_width"":2,""evolution_generation"":2,""money_weight"":1.22,""month_end_weight"":3.0,""pph_weight"":5.55,""pref_debt_weight"":0.32,""query_k"":200,""value_weight"":0.08}",runs/dragon_orca/eval_20260529/search/G001,C:\Anaconda3\python.exe tools/run_local_eval.py --simulation-days 31 --variant crown_dragon_orca --results-dir C:\budostudy\only_for_codex\thelatstcargo\runs\dragon_orca\eval_20260529\search\G001 --data-dir C:\budostudy\only_for_codex\thelatstcargo\demo\server\data,0,20260529,31,-21716.28,30583.73,52300.0,70,211,23,212,1553,22.19,0,0,0,7,207,0,0,0.8939,1.0,0.0,0.0,70,-14160.0,12623.96,70,70,70,70,4,70,2,0.85,,true,kill,below_b0_or_negative_tradeoff
G002,TierA_search_full_31day,EXECUTED,crown_dragon_orca,d31036ae2bdd26e3,"{""beam_depth"":2,""beam_width"":3,""evolution_generation"":3,""money_weight"":1.34,""month_end_weight"":6.0,""pph_weight"":6.1,""pref_debt_weight"":0.44,""query_k"":300,""value_weight"":0.15}",runs/dragon_orca/eval_20260529/search/G002,C:\Anaconda3\python.exe tools/run_local_eval.py --simulation-days 31 --variant crown_dragon_orca --results-dir C:\budostudy\only_for_codex\thelatstcargo\runs\dragon_orca\eval_20260529\search\G002 --data-dir C:\budostudy\only_for_codex\thelatstcargo\demo\server\data,0,20260529,31,-21716.28,30583.73,52300.0,70,211,23,212,1553,22.19,0,0,0,7,207,0,0,0.8939,1.0,0.0,0.0,70,-14160.0,12623.96,70,70,70,70,4,70,3,0.85,,true,kill,below_b0_or_negative_tradeoff
