run_id,dataset_tag,variant,official_net,gross_income,distance_cost,gross_minus_cost,preference_penalty,take_order,wait,reposition,wait_ratio,query_minutes,query_minutes_per_take,rule_level_penalty,wait_reason,wait_lock_bug_count,positive_net_but_wait,rest_overlap_rejection_count,reposition_value,qwen_compile_calls,illegal_actions,rejected_takes,income_calculation_aborts,simulation_failures,simulation_duration_days,completed_steps
runs/next_build/20260509/calendar_rest_only,20260509_reference,calendar_rest_only,99762.54,282679.28,86236.76,196442.52,96680.0,418,788,0,0.6534,9320,22.3,"{""below_direct_net_threshold"":7,""rest_window_overlap"":9670}",positive_orders_failed_threshold_or_soft_risk,0,0,26402,"{""reposition_count"":0}",12,0,0,0,0,31,1206
runs/next_build/20260509/dynamic_query_k,20260509_reference,dynamic_query_k,174300.44,490379.03,151078.57,339300.46,165000.0,902,75,0,0.0768,6722,7.45,{},no_safe_positive_net_cargo,0,0,0,"{""reposition_count"":0}",12,0,0,0,0,31,977
runs/next_build/20260509/dynamic_query_reposition,20260509_reference,dynamic_query_reposition,174300.44,490379.03,151078.57,339300.46,165000.0,902,75,0,0.0768,6722,7.45,{},no_safe_positive_net_cargo,0,0,0,"{""reposition_count"":0}",12,0,0,0,0,31,977
runs/next_build/20260509/marginal_pref_only,20260509_reference,marginal_pref_only,199861.77,531412.5,160640.73,370771.77,170910.0,859,32,0,0.0359,8742,10.18,{},no_safe_positive_net_cargo,0,0,0,"{""reposition_count"":0}",13,0,0,0,0,31,891
runs/next_build/20260509/money_greedy_no_pref,20260509_reference,money_greedy_no_pref,220151.2,561014.35,172653.1,388361.25,168210.0,740,70,0,0.0864,8034,10.86,{},no_safe_positive_net_cargo,0,0,0,"{""reposition_count"":0}",12,0,0,0,0,31,810
runs/next_build/20260509/strict_pref,20260509_reference,strict_pref,93518.61,287297.0,91978.37,195318.63,101800.0,422,866,0,0.6724,15360,36.4,"{""below_direct_net_threshold"":9,""rest_window_overlap"":15310}",positive_orders_failed_threshold_or_soft_risk,0,0,42457,"{""reposition_count"":0}",12,0,0,0,0,31,1288
runs/next_build/20260529/calendar_rest_only,20260529_main,calendar_rest_only,-2856.18,56076.19,16592.38,39483.81,42340.0,77,178,0,0.698,2186,28.39,"{""rest_window_overlap"":2240}",positive_orders_failed_threshold_or_soft_risk,0,0,6109,"{""reposition_count"":0}",5,0,0,0,0,31,255
runs/next_build/20260529/dynamic_query_k,20260529_main,dynamic_query_k,-128251.07,95169.62,30300.7,64868.92,193120.0,168,13,0,0.0718,1182,7.04,{},no_safe_positive_net_cargo,0,0,0,"{""reposition_count"":0}",5,0,0,0,0,31,181
runs/next_build/20260529/dynamic_query_reposition,20260529_main,dynamic_query_reposition,-130736.14,94456.98,29033.12,65423.86,196160.0,169,16,0,0.0865,1188,7.03,{},no_safe_positive_net_cargo,0,0,0,"{""reposition_count"":0}",5,0,0,0,0,31,185
runs/next_build/20260529/marginal_pref_only,20260529_main,marginal_pref_only,-113959.51,107264.18,33023.69,74240.49,188200.0,164,6,0,0.0353,1672,10.2,{},no_safe_positive_net_cargo,0,0,0,"{""reposition_count"":0}",5,0,0,0,0,31,170
runs/next_build/20260529/money_greedy_no_pref,20260529_main,money_greedy_no_pref,-122937.49,112028.48,34425.96,77602.52,200540.0,144,6,0,0.04,1452,10.08,{},no_safe_positive_net_cargo,0,0,0,"{""reposition_count"":0}",5,0,0,0,0,31,150
runs/next_build/20260529/preference_state_machine,20260529_main,preference_state_machine,-101251.29,76285.2,24376.49,51908.71,153160.0,129,64,0,0.3316,953,7.39,"{""below_direct_net_threshold"":2,""soft"":18}",daily_rest_guard,0,1,0,"{""reposition_count"":0}",5,0,0,0,0,31,193
runs/next_build/20260529/strict_pref,20260529_main,strict_pref,2240.98,55774.59,16873.61,38900.98,36660.0,73,180,0,0.7115,3109,42.59,"{""rest_window_overlap"":3419}",positive_orders_failed_threshold_or_soft_risk,0,0,9725,"{""reposition_count"":0}",5,0,0,0,0,31,253
