call_id,decision_index,candidate_count,affected_rule_ids,output_relation,output_effect,raw_risk_score,raw_repair_score,applied_score_adjustment,ranking_changed,action_changed,final_action_used,confidence,json_valid,retry_count,cache_hit
de660e8c5bfb,1,1,"[""887d908c573d"",""6235345edaf5"",""674070057b2f"",""cee0faecaf6b"",""4d7e4e30a7ba""]",not_persisted_in_legacy_trace,unknown,0.0,0.0,0.0,False,False,wait,,False,0,False
4f0f2602ffe0,2,54,"[""887d908c573d"",""6235345edaf5"",""674070057b2f"",""cee0faecaf6b"",""4d7e4e30a7ba""]",not_persisted_in_legacy_trace,unknown,0.0,0.0,0.0,False,False,take_order,,False,0,False
b3c6e3f9edb1,3,57,"[""887d908c573d"",""6235345edaf5"",""674070057b2f"",""cee0faecaf6b"",""4d7e4e30a7ba""]",not_persisted_in_legacy_trace,unknown,0.0,0.0,0.0,False,False,take_order,,False,0,False
71835458482a,4,54,"[""887d908c573d"",""6235345edaf5"",""674070057b2f"",""cee0faecaf6b"",""4d7e4e30a7ba""]",not_persisted_in_legacy_trace,unknown,0.0,0.0,0.0,False,False,wait,,False,0,False
a1d755d0956b,5,54,"[""887d908c573d"",""6235345edaf5"",""674070057b2f"",""cee0faecaf6b"",""4d7e4e30a7ba""]",not_persisted_in_legacy_trace,unknown,0.0,0.0,0.0,False,False,wait,,False,0,False
19a287cf8714,6,35,"[""887d908c573d"",""6235345edaf5"",""674070057b2f"",""cee0faecaf6b"",""4d7e4e30a7ba""]",not_persisted_in_legacy_trace,unknown,0.0,0.0,0.0,False,False,take_order,,False,0,False
dc20113abf1a,7,50,"[""887d908c573d"",""6235345edaf5"",""674070057b2f"",""cee0faecaf6b"",""4d7e4e30a7ba""]",not_persisted_in_legacy_trace,unknown,0.0,0.0,0.0,False,False,wait,,False,0,False
09c5cba5f9ba,8,64,"[""887d908c573d"",""6235345edaf5"",""674070057b2f"",""cee0faecaf6b"",""4d7e4e30a7ba""]",not_persisted_in_legacy_trace,unknown,0.0,0.0,0.0,False,False,wait,,False,0,False
121fadc719c9,9,67,"[""887d908c573d"",""6235345edaf5"",""674070057b2f"",""cee0faecaf6b"",""4d7e4e30a7ba""]",not_persisted_in_legacy_trace,unknown,0.0,0.0,0.0,False,False,wait,,False,0,False
405b266f4f70,10,57,"[""887d908c573d"",""6235345edaf5"",""674070057b2f"",""cee0faecaf6b"",""4d7e4e30a7ba""]",not_persisted_in_legacy_trace,unknown,0.0,0.0,0.0,False,False,take_order,,False,0,False
8e9147f61f11,11,50,"[""887d908c573d"",""6235345edaf5"",""674070057b2f"",""cee0faecaf6b"",""4d7e4e30a7ba""]",not_persisted_in_legacy_trace,unknown,0.0,0.0,0.0,False,False,take_order,,False,0,False
8a97a88c91a4,12,64,"[""887d908c573d"",""6235345edaf5"",""674070057b2f"",""cee0faecaf6b"",""4d7e4e30a7ba""]",not_persisted_in_legacy_trace,unknown,0.0,0.0,0.0,False,False,wait,,False,0,False
1c0e9dac2961,13,60,"[""887d908c573d"",""6235345edaf5"",""674070057b2f"",""cee0faecaf6b"",""4d7e4e30a7ba""]",not_persisted_in_legacy_trace,unknown,0.0,0.0,0.0,False,False,wait,,False,0,False
db1e3e303161,14,30,"[""887d908c573d"",""6235345edaf5"",""674070057b2f"",""cee0faecaf6b"",""4d7e4e30a7ba""]",not_persisted_in_legacy_trace,unknown,0.0,0.0,0.0,False,False,take_order,,False,0,False
cf8a29d79b63,15,44,"[""887d908c573d"",""6235345edaf5"",""674070057b2f"",""cee0faecaf6b"",""4d7e4e30a7ba""]",not_persisted_in_legacy_trace,unknown,0.0,0.0,0.0,False,False,take_order,,False,0,False
ae1fa8745842,16,31,"[""887d908c573d"",""6235345edaf5"",""674070057b2f"",""cee0faecaf6b"",""4d7e4e30a7ba""]",not_persisted_in_legacy_trace,unknown,0.0,0.0,0.0,False,False,take_order,,False,0,False
b9cf1f984662,17,44,"[""887d908c573d"",""6235345edaf5"",""674070057b2f"",""cee0faecaf6b"",""4d7e4e30a7ba""]",not_persisted_in_legacy_trace,unknown,0.0,0.0,0.0,False,False,wait,,False,0,False
ed5ef93b9ac2,18,48,"[""887d908c573d"",""6235345edaf5"",""674070057b2f"",""cee0faecaf6b"",""4d7e4e30a7ba""]",not_persisted_in_legacy_trace,unknown,0.0,0.0,0.0,False,False,wait,,False,0,False
65d80e2c0a8b,19,35,"[""887d908c573d"",""6235345edaf5"",""674070057b2f"",""cee0faecaf6b"",""4d7e4e30a7ba""]",not_persisted_in_legacy_trace,unknown,0.0,0.0,0.0,False,False,take_order,,False,0,False
7f93b38e262c,20,30,"[""887d908c573d"",""6235345edaf5"",""674070057b2f"",""cee0faecaf6b"",""4d7e4e30a7ba""]",not_persisted_in_legacy_trace,unknown,0.0,0.0,0.0,False,False,take_order,,False,0,False
b729d3d218b3,21,52,"[""887d908c573d"",""6235345edaf5"",""674070057b2f"",""cee0faecaf6b"",""4d7e4e30a7ba""]",not_persisted_in_legacy_trace,unknown,0.0,0.0,0.0,False,False,wait,,False,0,False
9f9b12083430,22,51,"[""887d908c573d"",""6235345edaf5"",""674070057b2f"",""cee0faecaf6b"",""4d7e4e30a7ba""]",not_persisted_in_legacy_trace,unknown,0.0,0.0,0.0,False,False,wait,,False,0,True
9b20ed792409,23,46,"[""887d908c573d"",""6235345edaf5"",""674070057b2f"",""cee0faecaf6b"",""4d7e4e30a7ba""]",not_persisted_in_legacy_trace,unknown,0.0,0.0,0.0,False,False,take_order,,False,0,True
a5399d549799,24,37,"[""887d908c573d"",""6235345edaf5"",""674070057b2f"",""cee0faecaf6b"",""4d7e4e30a7ba""]",not_persisted_in_legacy_trace,unknown,0.0,0.0,0.0,False,False,take_order,,False,0,True
a47b80e15108,25,47,"[""887d908c573d"",""6235345edaf5"",""674070057b2f"",""cee0faecaf6b"",""4d7e4e30a7ba""]",not_persisted_in_legacy_trace,unknown,0.0,0.0,0.0,False,False,wait,,False,0,True
4fda301b4816,26,56,"[""887d908c573d"",""6235345edaf5"",""674070057b2f"",""cee0faecaf6b"",""4d7e4e30a7ba""]",not_persisted_in_legacy_trace,unknown,0.0,0.0,0.0,False,False,wait,,False,0,True
6c2e6f822c37,27,38,"[""887d908c573d"",""6235345edaf5"",""674070057b2f"",""cee0faecaf6b"",""4d7e4e30a7ba""]",not_persisted_in_legacy_trace,unknown,0.0,0.0,0.0,False,False,take_order,,False,0,True
61a31f018454,28,36,"[""887d908c573d"",""6235345edaf5"",""674070057b2f"",""cee0faecaf6b"",""4d7e4e30a7ba""]",not_persisted_in_legacy_trace,unknown,0.0,0.0,0.0,False,False,take_order,,False,0,True
c8889ef7c293,29,43,"[""887d908c573d"",""6235345edaf5"",""674070057b2f"",""cee0faecaf6b"",""4d7e4e30a7ba""]",not_persisted_in_legacy_trace,unknown,0.0,0.0,0.0,False,False,take_order,,False,0,True
30569c3c0340,30,49,"[""887d908c573d"",""6235345edaf5"",""674070057b2f"",""cee0faecaf6b"",""4d7e4e30a7ba""]",not_persisted_in_legacy_trace,unknown,0.0,0.0,0.0,False,False,wait,,False,0,True
38e2f66e7efb,31,33,"[""887d908c573d"",""6235345edaf5"",""674070057b2f"",""cee0faecaf6b"",""4d7e4e30a7ba""]",not_persisted_in_legacy_trace,unknown,0.0,0.0,0.0,False,False,take_order,,False,0,True
14da83bd86fc,32,50,"[""887d908c573d"",""6235345edaf5"",""674070057b2f"",""cee0faecaf6b"",""4d7e4e30a7ba""]",not_persisted_in_legacy_trace,unknown,0.0,0.0,0.0,False,False,take_order,,False,0,True
c7e3470e15f1,33,56,"[""887d908c573d"",""6235345edaf5"",""674070057b2f"",""cee0faecaf6b"",""4d7e4e30a7ba""]",not_persisted_in_legacy_trace,unknown,0.0,0.0,0.0,False,False,wait,,False,0,True
f5271f88ab55,34,68,"[""887d908c573d"",""6235345edaf5"",""674070057b2f"",""cee0faecaf6b"",""4d7e4e30a7ba""]",not_persisted_in_legacy_trace,unknown,0.0,0.0,0.0,False,False,wait,,False,0,True
f44b5ed8910c,35,64,"[""887d908c573d"",""6235345edaf5"",""674070057b2f"",""cee0faecaf6b"",""4d7e4e30a7ba""]",not_persisted_in_legacy_trace,unknown,0.0,0.0,0.0,False,False,wait,,False,0,True
549d94a59267,36,53,"[""887d908c573d"",""6235345edaf5"",""674070057b2f"",""cee0faecaf6b"",""4d7e4e30a7ba""]",not_persisted_in_legacy_trace,unknown,0.0,0.0,0.0,False,False,take_order,,False,0,True
953340d83be2,37,46,"[""887d908c573d"",""6235345edaf5"",""674070057b2f"",""cee0faecaf6b"",""4d7e4e30a7ba""]",not_persisted_in_legacy_trace,unknown,0.0,0.0,0.0,False,False,take_order,,False,0,True
484f380554de,38,38,"[""887d908c573d"",""6235345edaf5"",""674070057b2f"",""cee0faecaf6b"",""4d7e4e30a7ba""]",not_persisted_in_legacy_trace,unknown,0.0,0.0,0.0,False,False,wait,,False,0,True
e33a1376142a,39,36,"[""887d908c573d"",""6235345edaf5"",""674070057b2f"",""cee0faecaf6b"",""4d7e4e30a7ba""]",not_persisted_in_legacy_trace,unknown,0.0,0.0,0.0,False,False,wait,,False,0,True
955f96ea0e02,40,19,"[""887d908c573d"",""6235345edaf5"",""674070057b2f"",""cee0faecaf6b"",""4d7e4e30a7ba""]",not_persisted_in_legacy_trace,unknown,0.0,0.0,0.0,False,False,take_order,,False,0,True
