dataset,driver_hash,preference_hash,rule_id,raw_text_hash,contract_type,primitive_family,schema_valid,executable,scorer_aligned,controller_attached,candidate_score_used_count,score_changed_count,changed_decision_count,qwen_compile_used,qwen_link_used,qwen_audit_used,penalty_unit,penalty_cap,penalty_amount_source,official_penalty_final,official_penalty_delta_vs_b0,final_state,fulfilled,violated,capped,still_repairable,first_unrepairable_step_hash,violated_day_hashes,missed_repair_opportunity_count,best_counterfactual_fix_type,best_counterfactual_fix_delta_net,compile_error,link_error,state_error,scale_error,repair_error,keep_or_kill
20260529,3e0e35341231,8c1c082e98c9,048e665ca9b7,8f93dba41b61,official_preference_check_hash_only,official_preference_rule,True,unknown_without_microprobe,official_final_penalty_exact,True,7558,1637,34,True,True,True,,5000.0,official_preference_check_capped_or_terminal,5000.0,0.0,violated_capped_or_terminal,False,True,True,unknown_without_suffix_replay,,[],0,not_run,,,,per_rule_runtime_state_not_in_trace,usage_counts_evenly_allocated_from_driver_aggregate_trace_stats,rule_doctor_counterfactual_not_run,unresolved_existing_penalty_not_fixed
20260529,3e0e35341231,292baf3b8ab2,355f8f7bf174,f4d38f6ce06d,official_preference_check_hash_only,official_preference_rule,True,unknown_without_microprobe,official_final_penalty_exact,True,7558,1637,34,True,True,True,0,,official_preference_check_zero_penalty,0.0,-6000.0,fulfilled,True,False,False,unknown_without_suffix_replay,,[],0,not_run,,,,per_rule_runtime_state_not_in_trace,usage_counts_evenly_allocated_from_driver_aggregate_trace_stats,rule_doctor_counterfactual_not_run,keep_candidate_penalty_improved_vs_b0
20260529,3e0e35341231,d0cc806c23e6,36e6d8533839,a194195b70d0,official_preference_check_hash_only,official_preference_rule,True,unknown_without_microprobe,official_final_penalty_exact,True,7558,1637,34,True,True,True,0,,official_preference_check_zero_penalty,0.0,0.0,fulfilled,True,False,False,unknown_without_suffix_replay,,[],0,not_run,,,,per_rule_runtime_state_not_in_trace,usage_counts_evenly_allocated_from_driver_aggregate_trace_stats,rule_doctor_counterfactual_not_run,neutral_no_final_penalty
20260529,3e0e35341231,98f02efca8a1,5898067122eb,98ef7e3ddff3,official_preference_check_hash_only,official_preference_rule,True,unknown_without_microprobe,official_final_penalty_exact,True,7558,1637,34,True,True,True,0,,official_preference_check_zero_penalty,0.0,-3400.0,fulfilled,True,False,False,unknown_without_suffix_replay,,[],0,not_run,,,,per_rule_runtime_state_not_in_trace,usage_counts_evenly_allocated_from_driver_aggregate_trace_stats,rule_doctor_counterfactual_not_run,keep_candidate_penalty_improved_vs_b0
20260529,3e0e35341231,e5ee4fa0ea71,67a434f963f5,bde62655a3f0,official_preference_check_hash_only,official_preference_rule,True,unknown_without_microprobe,official_final_penalty_exact,True,7558,1637,34,True,True,True,0,,official_preference_check_zero_penalty,0.0,0.0,fulfilled,True,False,False,unknown_without_suffix_replay,,[],0,not_run,,,,per_rule_runtime_state_not_in_trace,usage_counts_evenly_allocated_from_driver_aggregate_trace_stats,rule_doctor_counterfactual_not_run,neutral_no_final_penalty
20260529,3e0e35341231,67b5781dcf36,69c10ceb2dd4,45210c64bc96,official_preference_check_hash_only,official_preference_rule,True,unknown_without_microprobe,official_final_penalty_exact,True,7558,1637,34,True,True,True,,5000.0,official_preference_check_capped_or_terminal,5000.0,0.0,violated_capped_or_terminal,False,True,True,unknown_without_suffix_replay,,[],0,not_run,,,,per_rule_runtime_state_not_in_trace,usage_counts_evenly_allocated_from_driver_aggregate_trace_stats,rule_doctor_counterfactual_not_run,unresolved_existing_penalty_not_fixed
20260529,3e0e35341231,a793646ad6d6,e90080a0e2da,e58bf5162827,official_preference_check_hash_only,official_preference_rule,True,unknown_without_microprobe,official_final_penalty_exact,True,7558,1637,34,True,True,True,120.0,,official_preference_check_per_violation,120.0,-120.0,violated,False,True,False,unknown_without_suffix_replay,,[],0,not_run,,,,per_rule_runtime_state_not_in_trace,usage_counts_evenly_allocated_from_driver_aggregate_trace_stats,rule_doctor_counterfactual_not_run,keep_candidate_penalty_improved_vs_b0
20260529,e7a52d984e7e,fe9aa151f086,4d7e4e30a7ba,2a8fd4f71e99,official_preference_check_hash_only,official_preference_rule,True,unknown_without_microprobe,official_final_penalty_exact,True,4808,1170,23,True,True,True,3000.0,,official_preference_check_per_violation,3000.0,3000.0,violated,False,True,False,unknown_without_suffix_replay,,[],6,not_run,,,,per_rule_runtime_state_not_in_trace,usage_counts_evenly_allocated_from_driver_aggregate_trace_stats,rule_doctor_counterfactual_not_run,kill_or_retune_penalty_worse_vs_b0
20260529,e7a52d984e7e,50d1aa7683b0,6235345edaf5,073ce5598a31,official_preference_check_hash_only,official_preference_rule,True,unknown_without_microprobe,official_final_penalty_exact,True,4808,1170,23,True,True,True,2100.0,,official_preference_check_per_violation,2100.0,0.0,violated,False,True,False,unknown_without_suffix_replay,,[],6,not_run,,,,per_rule_runtime_state_not_in_trace,usage_counts_evenly_allocated_from_driver_aggregate_trace_stats,rule_doctor_counterfactual_not_run,unresolved_existing_penalty_not_fixed
20260529,e7a52d984e7e,7b2a46b4736e,674070057b2f,fbd8fb7c45b9,official_preference_check_hash_only,official_preference_rule,True,unknown_without_microprobe,official_final_penalty_exact,True,4808,1170,23,True,True,True,800.0,,official_preference_check_per_violation,14400.0,8000.0,violated,False,True,False,unknown_without_suffix_replay,,[],6,not_run,,,,per_rule_runtime_state_not_in_trace,usage_counts_evenly_allocated_from_driver_aggregate_trace_stats,rule_doctor_counterfactual_not_run,kill_or_retune_penalty_worse_vs_b0
